,Class 0,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9
Class 0,20.0,980.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Class 1,8865.0,2119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Class 2,8968.0,1032.0,988.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Class 3,8990.0,1010.0,0.0,993.0,0.0,0.0,0.0,0.0,0.0,0.0
Class 4,9018.0,982.0,0.0,0.0,993.0,0.0,0.0,0.0,0.0,0.0
Class 5,9108.0,892.0,0.0,0.0,0.0,991.0,0.0,0.0,0.0,0.0
Class 6,9042.0,958.0,0.0,0.0,0.0,0.0,989.0,0.0,0.0,0.0
Class 7,8972.0,1028.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0
Class 8,9026.0,974.0,0.0,0.0,0.0,0.0,0.0,0.0,990.0,0.0
Class 9,8991.0,1009.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,994.0
